,id,recording,site,year,month,species,songtype,x1,x2,y1,y2,validated,uri,datetime,meta,score,site_id
0,168677013,MON_20191019_140000.p2.flac,Miraflores,2019,10,Agelasticus thilius,Alternative Song 2,28.65922902494331,29.72734693877551,2756.25,4565.0390625,not present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10603/0_107.png,1571493660000,,0.3609308039315776,22307
1,168677002,MON_20191019_130000.p1.flac,Miraflores,2019,10,Agelasticus thilius,Alternative Song 2,44.12371882086168,45.19183673469388,2756.25,4565.0390625,not present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10603/0_96.png,1571490000000,,0.3617207719567155,22307
2,168677020,MON_20191019_140000.p5.flac,Miraflores,2019,10,Agelasticus thilius,Alternative Song 2,21.08371882086168,22.15183673469388,2756.25,4565.0390625,not present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10603/0_114.png,1571493840000,,0.3654874422320212,22307
3,168676999,MON_20191019_120000.p4.flac,Miraflores,2019,10,Agelasticus thilius,Alternative Song 2,29.79120181405896,30.85931972789116,2756.25,4565.0390625,not present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10603/0_93.png,1571486580000,,0.3687690931582412,22307
4,168677031,MON_20191019_150000.p3.flac,Miraflores,2019,10,Agelasticus thilius,Alternative Song 2,36.25795918367347,37.32607709750567,2756.25,4565.0390625,not present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10603/0_125.png,1571497320000,,0.3730278459562983,22307
5,168677030,MON_20191019_150000.p3.flac,Miraflores,2019,10,Agelasticus thilius,Alternative Song 2,56.80761904761905,57.875736961451246,2756.25,4565.0390625,not present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10603/0_124.png,1571497320000,,0.3858073179290959,22307
6,168677015,MON_20191019_140000.p3.flac,Miraflores,2019,10,Agelasticus thilius,Alternative Song 2,19.82403628117914,20.892154195011337,2756.25,4565.0390625,not present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10603/0_109.png,1571493720000,,0.4138984129593858,22307
7,168676741,MON_20191021_200700.p50.flac,Miraflores,2019,10,Agelasticus thilius,Alternative Song 2,26.581043083900227,27.649160997732427,2756.25,4565.0390625,not present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10603/2_15.png,1571691360000,,0.3487640519073023,22307
8,168678902,MON_20191021_150000.p2.flac,Miraflores,2019,10,Agelasticus thilius,Alternative Song 2,35.31174603174603,36.37986394557823,2756.25,4565.0390625,not present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10603/1_234.png,1571670060000,,0.3546843033933909,22307
9,168678901,MON_20191021_150000.p2.flac,Miraflores,2019,10,Agelasticus thilius,Alternative Song 2,5.572789115646258,6.640907029478458,2756.25,4565.0390625,not present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10603/1_233.png,1571670060000,,0.3586842843644247,22307
10,168676768,MON_20191022_060700.p34.flac,Miraflores,2019,10,Agelasticus thilius,Alternative Song 2,58.19501133786848,59.26312925170068,2756.25,4565.0390625,not present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10603/2_42.png,1571726400000,,0.3499286963927441,22307
11,168679208,MON_20191025_170000.p5.flac,Miraflores,2019,10,Agelasticus thilius,Alternative Song 2,54.85133786848073,55.91945578231292,2756.25,4565.0390625,not present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10603/4_249.png,1572023040000,,0.3768284984496738,22307
12,168676675,MON_20191026_200000.p5.flac,Miraflores,2019,10,Agelasticus thilius,Alternative Song 2,26.74938775510204,27.81750566893424,2756.25,4565.0390625,not present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10603/5_143.png,1572120240000,,0.3484246856934811,22307
13,168678443,MON_20191028_070000.p1.flac,Miraflores,2019,10,Agelasticus thilius,Alternative Song 2,27.840725623582767,28.908843537414967,2756.25,4565.0390625,not present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10603/6_205.png,1572246000000,,0.3459606114292003,22307
14,168679898,MON_20191029_190000.p4.flac,Miraflores,2019,10,Agelasticus thilius,Alternative Song 2,23.9978231292517,25.0659410430839,2756.25,4565.0390625,not present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10603/7_232.png,1572375780000,,0.3486719050699096,22307
