,id,recording,site,year,month,species,songtype,x1,x2,y1,y2,validated,uri,datetime,meta,score,site_id
0,168360778,MON_20191019_170000.p2.flac,Angachilla,2019,10,Agelasticus thilius,Common Song,24.131337868480724,25.420045351473924,1464.2578125,9991.40625,present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10556/0_111.png,1571504460000,,0.2064325154242869,22306
1,168360776,MON_20191019_170000.p2.flac,Angachilla,2019,10,Agelasticus thilius,Common Song,25.512925170068023,26.801632653061223,1464.2578125,9991.40625,present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10556/0_109.png,1571504460000,,0.2203921177281979,22306
2,168360781,MON_20191019_170000.p1.flac,Angachilla,2019,10,Agelasticus thilius,Common Song,19.52798185941043,20.816689342403627,1464.2578125,9991.40625,present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10556/0_114.png,1571504400000,,0.2247781933228151,22306
3,168360726,MON_20191019_110000.p2.flac,Angachilla,2019,10,Agelasticus thilius,Common Song,1.1377777777777778,2.426485260770975,1464.2578125,9991.40625,present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10556/0_59.png,1571482860000,,0.2333960932729396,22306
4,168360786,MON_20191019_170000.p3.flac,Angachilla,2019,10,Agelasticus thilius,Common Song,40.98902494331066,42.27773242630386,1464.2578125,9991.40625,present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10556/0_119.png,1571504520000,,0.2383410093640993,22306
5,168360715,MON_20191019_090000.p5.flac,Angachilla,2019,10,Agelasticus thilius,Common Song,38.29551020408163,39.58421768707483,1464.2578125,9991.40625,present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10556/0_48.png,1571475840000,,0.2550211564803191,22306
6,168360714,MON_20191019_090000.p5.flac,Angachilla,2019,10,Agelasticus thilius,Common Song,46.47473922902494,47.763446712018144,1464.2578125,9991.40625,present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10556/0_47.png,1571475840000,,0.2572519420679092,22306
7,168360733,MON_20191019_120000.p2.flac,Angachilla,2019,10,Agelasticus thilius,Common Song,52.87183673469388,54.16054421768708,1464.2578125,9991.40625,present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10556/0_66.png,1571486460000,,0.2702111193664318,22306
8,168360784,MON_20191019_170000.p3.flac,Angachilla,2019,10,Agelasticus thilius,Common Song,19.731156462585037,21.01986394557823,1464.2578125,9991.40625,present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10556/0_117.png,1571504520000,,0.2890975187661189,22306
9,168360700,MON_20191019_080000.p2.flac,Angachilla,2019,10,Agelasticus thilius,Common Song,46.46893424036281,47.75764172335601,1464.2578125,9991.40625,present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10556/0_33.png,1571472060000,,0.3009226330864435,22306
10,168360736,MON_20191019_120000.p3.flac,Angachilla,2019,10,Agelasticus thilius,Common Song,43.95537414965986,45.24408163265306,1464.2578125,9991.40625,present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10556/0_69.png,1571486520000,,0.3165957737375687,22306
11,168360824,MON_20191020_080000.p5.flac,Angachilla,2019,10,Agelasticus thilius,Common Song,19.16807256235828,20.45678004535148,1464.2578125,9991.40625,present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10556/0_157.png,1571558640000,,0.2692427763528837,22306
12,168360859,MON_20191020_160000.p3.flac,Angachilla,2019,10,Agelasticus thilius,Common Song,45.23827664399093,46.526984126984125,1464.2578125,9991.40625,present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10556/0_192.png,1571587320000,,0.2705561524990953,22306
13,168363211,MON_20191021_170000.p4.flac,Angachilla,2019,10,Agelasticus thilius,Common Song,5.5902040816326535,6.8789115646258505,1464.2578125,9991.40625,present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10556/1_46.png,1571677380000,,0.2419906067433478,22306
14,168363216,MON_20191021_170000.p3.flac,Angachilla,2019,10,Agelasticus thilius,Common Song,25.86702947845805,27.155736961451247,1464.2578125,9991.40625,present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10556/1_51.png,1571677320000,,0.2565777552901984,22306
15,168363212,MON_20191021_170000.p5.flac,Angachilla,2019,10,Agelasticus thilius,Common Song,10.483809523809525,11.77251700680272,1464.2578125,9991.40625,present,https://s3.amazonaws.com/arbimon2/project_2770/detections/10556/1_47.png,1571677440000,,0.2607543016661267,22306
