,id,recording,site,x1,x2,y1,y2,validated,uri,datetime,meta,score,site_id
0,151851163,2020/01/19/165bhuozd5pj/e3d1d0a0-b9cf-4147-acca-6115318d7f53.flac,Miraflores,27.28344671201814,28.14258503401361,1205.859375,6804.4921875,present,https://s3.amazonaws.com/arbimon2/project_2528/detections/9756/13_37.png,1579392060000,"{""encoder"":""Lavf58.24.101"",""filename"":""MON_20200119_000000.wav""}",0.2068341710768507,21157
1,151851538,2020/01/03/165bhuozd5pj/602b2e56-7d24-49a5-bb5b-429d504d9ff7.flac,Miraflores,15.197460317460315,16.056598639455782,1205.859375,6804.4921875,present,https://s3.amazonaws.com/arbimon2/project_2528/detections/9756/1_203.png,1578013320000,"{""encoder"":""Lavf58.24.101"",""filename"":""MON_20200103_010000.wav""}",0.20619350622548366,21157
2,151851687,2020/01/21/165bhuozd5pj/8f691f55-2092-45a9-ae6f-430820d5dfe6.flac,Miraflores,5.607619047619048,6.466757369614513,1205.859375,6804.4921875,present,https://s3.amazonaws.com/arbimon2/project_2528/detections/9756/14_17.png,1579575660000,"{""encoder"":""Lavf58.24.101"",""filename"":""MON_20200121_030000.wav""}",0.20562476020676554,21157
3,151851709,2020/01/21/165bhuozd5pj/f90a01a6-71ce-4173-9485-d79202a1f275.flac,Miraflores,6.205532879818593,7.064671201814059,1205.859375,6804.4921875,present,https://s3.amazonaws.com/arbimon2/project_2528/detections/9756/14_39.png,1579637700000,"{""encoder"":""Lavf58.24.101"",""filename"":""MON_20200121_200700.wav""}",0.20351344522488635,21157
4,151851783,2020/01/24/165bhuozd5pj/15aea640-bae9-4579-b722-71f283ce4940.flac,Miraflores,18.44825396825397,19.307392290249428,1205.859375,6804.4921875,present,https://s3.amazonaws.com/arbimon2/project_2528/detections/9756/14_113.png,1579842120000,"{""encoder"":""Lavf58.24.101"",""filename"":""MON_20200124_050000.wav""}",0.20602482463818667,21157
5,151851817,2020/01/24/165bhuozd5pj/b46e7f93-346e-4bb0-b735-9167a9f48382.flac,Miraflores,36.948752834467115,37.807891156462595,1205.859375,6804.4921875,present,https://s3.amazonaws.com/arbimon2/project_2528/detections/9756/14_147.png,1579863780000,"{""encoder"":""Lavf58.24.101"",""filename"":""MON_20200124_110000.wav""}",0.40736263015702107,21157
6,151851907,2020/01/24/165bhuozd5pj/8398c113-76f4-4517-aa1a-aea42b034bd0.flac,Miraflores,34.52226757369615,35.38140589569161,1205.859375,6804.4921875,present,https://s3.amazonaws.com/arbimon2/project_2528/detections/9756/14_237.png,1579831380000,"{""encoder"":""Lavf58.24.101"",""filename"":""MON_20200124_020000.wav""}",0.3863464598969573,21157
7,151851955,2020/01/30/165bhuozd5pj/5696bf9e-b148-4ea3-8d8a-9c6e6896f792.flac,Miraflores,22.523356009070287,23.38249433106576,1205.859375,6804.4921875,present,https://s3.amazonaws.com/arbimon2/project_2528/detections/9756/18_4.png,1580360400000,"{""encoder"":""Lavf58.24.101"",""filename"":""MON_20200130_050000.wav""}",0.20650921815285506,21157
8,151851966,2020/01/27/165bhuozd5pj/8101d5a0-367c-4944-997c-68044af1a3c2.flac,Miraflores,32.04353741496599,32.90267573696145,1205.859375,6804.4921875,present,https://s3.amazonaws.com/arbimon2/project_2528/detections/9756/18_15.png,1580072640000,"{""encoder"":""Lavf58.24.101"",""filename"":""MON_20200126_210000.wav""}",0.4138812002042798,21157
9,151851967,2020/01/27/165bhuozd5pj/8101d5a0-367c-4944-997c-68044af1a3c2.flac,Miraflores,25.129795918367343,25.988934240362806,1205.859375,6804.4921875,present,https://s3.amazonaws.com/arbimon2/project_2528/detections/9756/18_16.png,1580072640000,"{""encoder"":""Lavf58.24.101"",""filename"":""MON_20200126_210000.wav""}",0.3803635961647588,21157
10,151852019,2020/01/29/165bhuozd5pj/a888682e-d6cb-4eee-938c-ebf792f31443.flac,Miraflores,6.8382766439909295,7.697414965986393,1205.859375,6804.4921875,present,https://s3.amazonaws.com/arbimon2/project_2528/detections/9756/18_68.png,1580256060000,"{""encoder"":""Lavf58.24.101"",""filename"":""MON_20200129_000000.wav""}",0.38708272101562097,21157
11,151852094,2020/01/29/165bhuozd5pj/2a0e6705-ab99-4784-87dc-99f39e47fb6a.flac,Miraflores,1.0042630385487528,1.8634013605442177,1205.859375,6804.4921875,present,https://s3.amazonaws.com/arbimon2/project_2528/detections/9756/18_143.png,1580284860000,"{""encoder"":""Lavf58.24.101"",""filename"":""MON_20200129_080000.wav""}",0.3779617902966589,21157
12,151852097,2020/01/29/165bhuozd5pj/164a6bc8-249f-47e8-ac83-39e72e3ecc83.flac,Miraflores,52.285532879818604,53.14467120181406,1205.859375,6804.4921875,present,https://s3.amazonaws.com/arbimon2/project_2528/detections/9756/18_146.png,1580284920000,"{""encoder"":""Lavf58.24.101"",""filename"":""MON_20200129_080000.wav""}",0.391424974080137,21157
13,151852100,2020/01/29/165bhuozd5pj/f356a68a-1aea-43ef-8fc8-236115a8387d.flac,Miraflores,58.18920634920635,59.04834467120181,1205.859375,6804.4921875,present,https://s3.amazonaws.com/arbimon2/project_2528/detections/9756/18_149.png,1580284980000,"{""encoder"":""Lavf58.24.101"",""filename"":""MON_20200129_080000.wav""}",0.4058911281981854,21157
14,151852101,2020/01/29/165bhuozd5pj/f356a68a-1aea-43ef-8fc8-236115a8387d.flac,Miraflores,57.34748299319728,58.206621315192734,1205.859375,6804.4921875,present,https://s3.amazonaws.com/arbimon2/project_2528/detections/9756/18_150.png,1580284980000,"{""encoder"":""Lavf58.24.101"",""filename"":""MON_20200129_080000.wav""}",0.37785804294595204,21157
